Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección
Speaking Part 1,3.0,A1,395.0
Speaking Part 2,3.0,A1,423.0
Listening,16.0,A1 +,140.0
Reading,27.0,A1 +,217.0
