Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,37
speak 1,A1,23
speak 1,A2,25
speak 2,Pre - A1,34
speak 2,A1,28
speak 2,A2,23
reading,Pre - A1,1
reading,A1 -,5
reading,A1,12
reading,A1 +,14
reading,A2 -,15
reading,A2,22
reading,A2 +,16
listening,Pre - A1,0
listening,A1 -,7
listening,A1,20
listening,A1 +,27
listening,A2 -,5
listening,A2,14
listening,A2 +,12
