Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,19,Masculino
speak 1,A1,28,Masculino
speak 1,A2,3,Masculino
speak 2,Pre - A1,19,Masculino
speak 2,A1,26,Masculino
speak 2,A2,5,Masculino
reading,Pre - A1,7,Masculino
reading,A1 -,7,Masculino
reading,A1,12,Masculino
reading,A1 +,7,Masculino
reading,A2 -,4,Masculino
reading,A2,11,Masculino
reading,A2 +,2,Masculino
listening,Pre - A1,2,Masculino
listening,A1 -,13,Masculino
listening,A1,9,Masculino
listening,A1 +,5,Masculino
listening,A2 -,7,Masculino
listening,A2,8,Masculino
listening,A2 +,6,Masculino
speak 1,Pre - A1,24,Femenino
speak 1,A1,27,Femenino
speak 1,A2,1,Femenino
speak 2,Pre - A1,26,Femenino
speak 2,A1,25,Femenino
speak 2,A2,1,Femenino
reading,Pre - A1,0,Femenino
reading,A1 -,3,Femenino
reading,A1,8,Femenino
reading,A1 +,15,Femenino
reading,A2 -,12,Femenino
reading,A2,11,Femenino
reading,A2 +,3,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,3,Femenino
listening,A1,4,Femenino
listening,A1 +,23,Femenino
listening,A2 -,11,Femenino
listening,A2,6,Femenino
listening,A2 +,5,Femenino
