seccion,calificacion,cantidad
speak 1,Pre - A1,16
speak 1,A1,16
speak 1,A2,12
speak 2,Pre - A1,15
speak 2,A1,16
speak 2,A2,13
reading,Pre - A1,5
reading,A1 -,3
reading,A1,10
reading,A1 +,12
reading,A2 -,7
reading,A2,4
reading,A2 +,3
listening,Pre - A1,6
listening,A1 -,9
listening,A1,5
listening,A1 +,2
listening,A2 -,8
listening,A2,7
listening,A2 +,7
