Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,1,A1,12, - 
Listening,14,A1 +,16,14
Reading,22,A1,19,22
