seccion,calificacion,cantidad
speak 1,Pre - A1,24
speak 1,A1,22
speak 1,A2,21
speak 2,Pre - A1,19
speak 2,A1,18
speak 2,A2,30
reading,Pre - A1,9
reading,A1 -,7
reading,A1,12
reading,A1 +,6
reading,A2 -,8
reading,A2,15
reading,A2 +,10
listening,Pre - A1,10
listening,A1 -,6
listening,A1,3
listening,A1 +,15
listening,A2 -,13
listening,A2,13
listening,A2 +,7
