Sección,Aciertos promedio,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,4,A1,39, - 
Listening,16,A1 +,11,12
Reading,26,A1 +,27,16
