Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,3,A1,40,2
Speaking Part 2,3,A1,41,3
Listening,16,A1 +,13,12
Reading,24,A1,18,14
