Sección,Aciertos promedio,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,0,Pre - A1,39, - 
Listening,14,A1 +,13,14
Reading,24,A1,17,23
