Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección
Speaking Part 1,0,Pre - A1,82
Speaking Part 2,0,Pre - A1,82
Listening,20,A2,21
Reading,30,A1 +,23
