Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,19,Masculino
speak 1,A1,11,Masculino
speak 1,A2,11,Masculino
speak 2,Pre - A1,17,Masculino
speak 2,A1,14,Masculino
speak 2,A2,10,Masculino
reading,Pre - A1,1,Masculino
reading,A1 -,5,Masculino
reading,A1,6,Masculino
reading,A1 +,5,Masculino
reading,A2 -,5,Masculino
reading,A2,10,Masculino
reading,A2 +,9,Masculino
listening,Pre - A1,0,Masculino
listening,A1 -,4,Masculino
listening,A1,11,Masculino
listening,A1 +,12,Masculino
listening,A2 -,2,Masculino
listening,A2,6,Masculino
listening,A2 +,6,Masculino
speak 1,Pre - A1,18,Femenino
speak 1,A1,12,Femenino
speak 1,A2,14,Femenino
speak 2,Pre - A1,17,Femenino
speak 2,A1,14,Femenino
speak 2,A2,13,Femenino
reading,Pre - A1,0,Femenino
reading,A1 -,0,Femenino
reading,A1,6,Femenino
reading,A1 +,9,Femenino
reading,A2 -,10,Femenino
reading,A2,12,Femenino
reading,A2 +,7,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,3,Femenino
listening,A1,9,Femenino
listening,A1 +,15,Femenino
listening,A2 -,3,Femenino
listening,A2,8,Femenino
listening,A2 +,6,Femenino
