seccion,calificacion,cantidad
speak 1,Pre - A1,12
speak 1,A1,21
speak 1,A2,10
speak 2,Pre - A1,10
speak 2,A1,13
speak 2,A2,20
reading,Pre - A1,7
reading,A1 -,7
reading,A1,8
reading,A1 +,8
reading,A2 -,3
reading,A2,3
reading,A2 +,7
listening,Pre - A1,8
listening,A1 -,5
listening,A1,7
listening,A1 +,6
listening,A2 -,4
listening,A2,6
listening,A2 +,7
