Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,3,A1,23,3
Speaking Part 2,3,A1,25,3
Listening,14,A1 +,10,14
Reading,24,A1,26,25
