Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,9
speak 1,A1,38
speak 1,A2,4
speak 2,Pre - A1,9
speak 2,A1,40
speak 2,A2,2
reading,Pre - A1,1
reading,A1 -,5
reading,A1,15
reading,A1 +,13
reading,A2 -,12
reading,A2,4
reading,A2 +,1
listening,Pre - A1,1
listening,A1 -,13
listening,A1,26
listening,A1 +,7
listening,A2 -,0
listening,A2,2
listening,A2 +,1
