Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,2,A1,29,2
Speaking Part 2,2,A1,30,3
Listening,14,A1 +,17,12
Reading,27,A1 +,23,18
