Porcentaje de error de revisores,Frecuencia
1.25,20
0.0,17
2.0,8
3.25,6
2.5,6
4.0,3
0.62,3
7.25,3
6.5,3
5.0,2
12.0,2
4.5,2
5.25,2
3.75,1
15.75,1
12.5,1
15.25,1
1.88,1
20.0,1
8.38,1
8.0,1
4.38,1
5.75,1
3.88,1
3.12,1
2.62,1
5.12,1
