Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,4,A1,21, - 
Listening,19,A2 -,20,12
Reading,33,A2 -,21,20
