Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,4,A1,35,3
Speaking Part 2,4,A1,31,3
Listening,18,A2 -,21,9
Reading,27,A1 +,25,10
