Sección,Promedio de aciertos correctoso,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,1,A1,41, - 
Listening,17,A2 -,16,13
Reading,29,A1 +,14,17
