Sección,Aciertos promedio,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,0,Pre - A1,60, - 
Listening,20,A2,17,19
Reading,30,A1 +,11,27
