seccion,calificacion,cantidad
speak 1,Pre - A1,8
speak 1,A1,12
speak 1,A2,15
speak 2,Pre - A1,12
speak 2,A1,9
speak 2,A2,14
reading,Pre - A1,4
reading,A1 -,5
reading,A1,8
reading,A1 +,4
reading,A2 -,7
reading,A2,3
reading,A2 +,4
listening,Pre - A1,8
listening,A1 -,1
listening,A1,2
listening,A1 +,5
listening,A2 -,5
listening,A2,4
listening,A2 +,10
