Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_2_1,7.55,4.0
2,reading_1_9,13.21,7.0
3,reading_1_2,15.09,8.0
4,reading_1_6,20.75,11.0
5,reading_1_1,20.75,11.0
6,reading_1_8,26.42,14.0
7,reading_1_7,28.3,15.0
