Top,Pregunta,Porcentaje de respuestas correctas,Número de respuestas correctas
1,reading_1_2,22.22,18.0
2,reading_1_9,23.46,19.0
3,reading_2_1,30.86,25.0
4,reading_1_8,32.1,26.0
5,reading_1_3,34.57,28.0
6,reading_3.2_4,35.8,29.0
7,reading_1_7,40.74,33.0
