seccion,calificacion,cantidad
speak 1,Pre - A1,17
speak 1,A1,15
speak 1,A2,13
speak 2,Pre - A1,17
speak 2,A1,12
speak 2,A2,16
reading,Pre - A1,8
reading,A1 -,8
reading,A1,3
reading,A1 +,7
reading,A2 -,9
reading,A2,4
reading,A2 +,6
listening,Pre - A1,7
listening,A1 -,6
listening,A1,6
listening,A1 +,6
listening,A2 -,8
listening,A2,5
listening,A2 +,7
