Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,1,A1,31, - 
Listening,14,A1 +,10,6
Reading,27,A1 +,13,9
