Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,1,A1,38, - 
Listening,12,A1,26,6
Reading,26,A1 +,28,11
