Sección,Aciertos promedio,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,4,A1,19, - 
Listening,16,A1 +,8,16
Reading,29,A1 +,10,27
