Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,2,A1,16, - 
Listening,14,A1 +,8,14
Reading,24,A1,11,23
