Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección
Speaking Part 1,1.0,A1,2.0
Speaking Part 2,1.0,A1,2.0
Listening,17.0,A2 -,1.0
Reading,28.0,A1 +,0.0
