Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección
Speaking Part 1,0,Pre - A1,60
Speaking Part 2,0,Pre - A1,58
Listening,9,A1 -,9
Reading,16,A1 -,30
