seccion,calificacion,cantidad
speak 1,Pre - A1,16
speak 1,A1,33
speak 1,A2,18
speak 2,Pre - A1,18
speak 2,A1,34
speak 2,A2,15
reading,Pre - A1,2
reading,A1 -,3
reading,A1,5
reading,A1 +,9
reading,A2 -,14
reading,A2,16
reading,A2 +,18
listening,Pre - A1,0
listening,A1 -,2
listening,A1,9
listening,A1 +,22
listening,A2 -,11
listening,A2,13
listening,A2 +,10
