Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,11,Masculino
speak 1,A1,18,Masculino
speak 1,A2,0,Masculino
speak 2,Pre - A1,12,Masculino
speak 2,A1,17,Masculino
speak 2,A2,0,Masculino
reading,Pre - A1,5,Masculino
reading,A1 -,0,Masculino
reading,A1,10,Masculino
reading,A1 +,5,Masculino
reading,A2 -,4,Masculino
reading,A2,3,Masculino
reading,A2 +,0,Masculino
listening,Pre - A1,3,Masculino
listening,A1 -,6,Masculino
listening,A1,0,Masculino
listening,A1 +,7,Masculino
listening,A2 -,9,Masculino
listening,A2,3,Masculino
listening,A2 +,1,Masculino
speak 1,Pre - A1,8,Femenino
speak 1,A1,13,Femenino
speak 1,A2,0,Femenino
speak 2,Pre - A1,8,Femenino
speak 2,A1,12,Femenino
speak 2,A2,1,Femenino
reading,Pre - A1,1,Femenino
reading,A1 -,0,Femenino
reading,A1,4,Femenino
reading,A1 +,5,Femenino
reading,A2 -,5,Femenino
reading,A2,6,Femenino
reading,A2 +,0,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,1,Femenino
listening,A1,2,Femenino
listening,A1 +,6,Femenino
listening,A2 -,5,Femenino
listening,A2,6,Femenino
listening,A2 +,1,Femenino
