Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,40
speak 1,A1,43
speak 1,A2,8
speak 2,Pre - A1,39
speak 2,A1,48
speak 2,A2,4
reading,Pre - A1,12
reading,A1 -,8
reading,A1,11
reading,A1 +,13
reading,A2 -,13
reading,A2,16
reading,A2 +,18
listening,Pre - A1,1
listening,A1 -,8
listening,A1,15
listening,A1 +,22
listening,A2 -,14
listening,A2,19
listening,A2 +,12
