Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,4,A1,39, - 
Listening,17,A2 -,15,19
Reading,30,A1 +,26,28
