Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,3,Masculino
speak 1,A1,21,Masculino
speak 1,A2,2,Masculino
speak 2,Pre - A1,4,Masculino
speak 2,A1,20,Masculino
speak 2,A2,2,Masculino
reading,Pre - A1,0,Masculino
reading,A1 -,3,Masculino
reading,A1,6,Masculino
reading,A1 +,6,Masculino
reading,A2 -,7,Masculino
reading,A2,3,Masculino
reading,A2 +,1,Masculino
listening,Pre - A1,1,Masculino
listening,A1 -,6,Masculino
listening,A1,8,Masculino
listening,A1 +,6,Masculino
listening,A2 -,3,Masculino
listening,A2,2,Masculino
listening,A2 +,0,Masculino
speak 1,Pre - A1,6,Femenino
speak 1,A1,20,Femenino
speak 1,A2,6,Femenino
speak 2,Pre - A1,5,Femenino
speak 2,A1,22,Femenino
speak 2,A2,5,Femenino
reading,Pre - A1,1,Femenino
reading,A1 -,1,Femenino
reading,A1,4,Femenino
reading,A1 +,7,Femenino
reading,A2 -,9,Femenino
reading,A2,7,Femenino
reading,A2 +,3,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,5,Femenino
listening,A1,12,Femenino
listening,A1 +,6,Femenino
listening,A2 -,5,Femenino
listening,A2,2,Femenino
listening,A2 +,2,Femenino
