Sección,Aciertos promedio,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,1,A1,40, - 
Listening,16,A1 +,9,16
Reading,26,A1 +,29,26
