Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,21
speak 1,A1,46
speak 1,A2,22
speak 2,Pre - A1,14
speak 2,A1,50
speak 2,A2,25
reading,Pre - A1,13
reading,A1 -,7
reading,A1,20
reading,A1 +,13
reading,A2 -,12
reading,A2,17
reading,A2 +,7
listening,Pre - A1,1
listening,A1 -,18
listening,A1,23
listening,A1 +,20
listening,A2 -,11
listening,A2,11
listening,A2 +,5
