Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,23
speak 1,A1,13
speak 1,A2,17
speak 2,Pre - A1,19
speak 2,A1,21
speak 2,A2,13
reading,Pre - A1,2
reading,A1 -,6
reading,A1,10
reading,A1 +,5
reading,A2 -,10
reading,A2,13
reading,A2 +,7
listening,Pre - A1,3
listening,A1 -,5
listening,A1,13
listening,A1 +,13
listening,A2 -,8
listening,A2,8
listening,A2 +,3
