group,correct_answers_listening,correct_answers_reading_writing,correct_answers_speaking_part_1,correct_answers_speaking_part_2,correct_answers_speaking,reviewer_answers_listening,reviewer_answers_reading_writing,reviewer_answers_speaking_part_1,reviewer_answers_speaking_part_2,qualification_speaking_part_1,qualification_speaking_part_2,qualification_speaking,qualification_listening,qualification_reading,percentage_correct_listening,percentage_correct_reading_writing,percentage_correct_speaking_part_1,percentage_correct_speaking_part_2,percentage_correct_speaking,percentage_correct,Top
B,12,18,0,0,0,12,16,0,0,0,0,0,2,1,48.0,45.0,0.0,0.0,0.0,31.0,1
A,6,14,0,0,0,5,11,0,0,0,0,0,0,1,24.0,35.0,0.0,0.0,0.0,19.666666666666668,2
