Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,5,A2,38,4
Speaking Part 2,5,A1,48,4
Listening,16,A1 +,15,11
Reading,26,A1 +,16,14
