Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,2,A1,19, - 
Listening,21,A2,18,8
Reading,34,A2,16,8
