seccion,calificacion,cantidad
speak 1,Pre - A1,12
speak 1,A1,15
speak 1,A2,8
speak 2,Pre - A1,10
speak 2,A1,13
speak 2,A2,12
reading,Pre - A1,5
reading,A1 -,3
reading,A1,5
reading,A1 +,4
reading,A2 -,6
reading,A2,4
reading,A2 +,8
listening,Pre - A1,5
listening,A1 -,5
listening,A1,5
listening,A1 +,3
listening,A2 -,6
listening,A2,6
listening,A2 +,5
