Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,0,Pre - A1,41,0
Speaking Part 2,0,A1,27,1
Listening,12,A1,16,13
Reading,21,A1,21,20
