Sección,Promedio de aciertos correctos,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,1,A1,30, - 
Listening,15,A1 +,3,15
Reading,28,A1 +,14,26
