Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,40
speak 1,A1,40
speak 1,A2,1
speak 2,Pre - A1,40
speak 2,A1,41
speak 2,A2,0
reading,Pre - A1,5
reading,A1 -,2
reading,A1,18
reading,A1 +,9
reading,A2 -,20
reading,A2,19
reading,A2 +,8
listening,Pre - A1,3
listening,A1 -,8
listening,A1,21
listening,A1 +,29
listening,A2 -,7
listening,A2,10
listening,A2 +,3
