Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,82
speak 1,A1,3
speak 1,A2,1
speak 2,Pre - A1,82
speak 2,A1,3
speak 2,A2,1
reading,Pre - A1,1
reading,A1 -,1
reading,A1,6
reading,A1 +,11
reading,A2 -,18
reading,A2,21
reading,A2 +,28
listening,Pre - A1,0
listening,A1 -,8
listening,A1,8
listening,A1 +,23
listening,A2 -,14
listening,A2,21
listening,A2 +,12
