Sección,Aciertos promedio,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,2,A1,19, - 
Listening,14,A1 +,6,14
Reading,27,A1 +,9,26
