Sección,Aciertos promedio,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,4,A1,15,4
Speaking Part 2,4,A1,13,3
Listening,15,A1 +,3,15
Reading,29,A1 +,5,26
