Sección,Aciertos promedio,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,1,A1,9, - 
Listening,19,A2 -,11,20
Reading,33,A2 -,11,27
