Sección,Promedio de aciertos correctoso,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,3,A1,28, - 
Listening,14,A1 +,13,19
Reading,21,A1,24,20
