Sección,Aciertos promedio,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,3,A1,21,3
Speaking Part 2,3,A1,23,3
Listening,17,A2 -,25,14
Reading,25,A1 +,17,20
