seccion,calificacion,cantidad
speak 1,Pre - A1,10
speak 1,A1,9
speak 1,A2,11
speak 2,Pre - A1,9
speak 2,A1,13
speak 2,A2,8
reading,Pre - A1,5
reading,A1 -,5
reading,A1,7
reading,A1 +,0
reading,A2 -,5
reading,A2,3
reading,A2 +,5
listening,Pre - A1,3
listening,A1 -,7
listening,A1,5
listening,A1 +,7
listening,A2 -,2
listening,A2,2
listening,A2 +,4
