Sección,Calificación,Cantidad de alumnos con esa calificación,Género
speak 1,Pre - A1,25,Masculino
speak 1,A1,14,Masculino
speak 1,A2,8,Masculino
speak 2,Pre - A1,17,Masculino
speak 2,A1,17,Masculino
speak 2,A2,13,Masculino
reading,Pre - A1,3,Masculino
reading,A1 -,1,Masculino
reading,A1,4,Masculino
reading,A1 +,15,Masculino
reading,A2 -,11,Masculino
reading,A2,9,Masculino
reading,A2 +,4,Masculino
listening,Pre - A1,3,Masculino
listening,A1 -,5,Masculino
listening,A1,9,Masculino
listening,A1 +,10,Masculino
listening,A2 -,10,Masculino
listening,A2,5,Masculino
listening,A2 +,5,Masculino
speak 1,Pre - A1,18,Femenino
speak 1,A1,13,Femenino
speak 1,A2,9,Femenino
speak 2,Pre - A1,9,Femenino
speak 2,A1,20,Femenino
speak 2,A2,11,Femenino
reading,Pre - A1,1,Femenino
reading,A1 -,3,Femenino
reading,A1,5,Femenino
reading,A1 +,5,Femenino
reading,A2 -,8,Femenino
reading,A2,13,Femenino
reading,A2 +,5,Femenino
listening,Pre - A1,0,Femenino
listening,A1 -,3,Femenino
listening,A1,7,Femenino
listening,A1 +,7,Femenino
listening,A2 -,8,Femenino
listening,A2,10,Femenino
listening,A2 +,5,Femenino
