Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,15
speak 1,A1,19
speak 1,A2,1
speak 2,Pre - A1,16
speak 2,A1,16
speak 2,A2,3
reading,Pre - A1,4
reading,A1 -,4
reading,A1,3
reading,A1 +,4
reading,A2 -,7
reading,A2,11
reading,A2 +,1
listening,Pre - A1,2
listening,A1 -,10
listening,A1,8
listening,A1 +,9
listening,A2 -,3
listening,A2,3
listening,A2 +,0
