Sección,Promedio de aciertos correctos,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,3,A1,28,3
Speaking Part 2,3,A1,39,4
Listening,17,A2 -,19,14
Reading,28,A1 +,17,17
