Sección,Promedio de aciertos correctoso,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,4,A1,25, - 
Listening,17,A2 -,12,18
Reading,30,A1 +,10,27
