Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,0
speak 1,A1,27
speak 1,A2,27
speak 2,Pre - A1,0
speak 2,A1,37
speak 2,A2,17
reading,Pre - A1,0
reading,A1 -,0
reading,A1,0
reading,A1 +,7
reading,A2 -,18
reading,A2,20
reading,A2 +,9
listening,Pre - A1,0
listening,A1 -,4
listening,A1,7
listening,A1 +,22
listening,A2 -,6
listening,A2,13
listening,A2 +,2
