seccion,calificacion,cantidad
speak 1,Pre - A1,9
speak 1,A1,14
speak 1,A2,15
speak 2,Pre - A1,18
speak 2,A1,9
speak 2,A2,11
reading,Pre - A1,4
reading,A1 -,2
reading,A1,5
reading,A1 +,9
reading,A2 -,6
reading,A2,7
reading,A2 +,5
listening,Pre - A1,5
listening,A1 -,7
listening,A1,3
listening,A1 +,8
listening,A2 -,5
listening,A2,2
listening,A2 +,8
