seccion,calificacion,cantidad
speak 1,Pre - A1,61
speak 1,A1,6
speak 1,A2,3
speak 2,Pre - A1,62
speak 2,A1,4
speak 2,A2,4
reading,Pre - A1,0
reading,A1 -,1
reading,A1,9
reading,A1 +,13
reading,A2 -,24
reading,A2,17
reading,A2 +,6
listening,Pre - A1,1
listening,A1 -,2
listening,A1,14
listening,A1 +,12
listening,A2 -,12
listening,A2,23
listening,A2 +,5
