Sección,Aciertos promedio,Calificación,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking Part 1,3,A1,18,5
Speaking Part 2,3,A1,24,4
Listening,17,A2 -,15,19
Reading,30,A1 +,26,28
