Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,15
speak 1,A1,43
speak 1,A2,23
speak 2,Pre - A1,22
speak 2,A1,37
speak 2,A2,22
reading,Pre - A1,7
reading,A1 -,5
reading,A1,13
reading,A1 +,12
reading,A2 -,15
reading,A2,18
reading,A2 +,11
listening,Pre - A1,2
listening,A1 -,11
listening,A1,16
listening,A1 +,30
listening,A2 -,8
listening,A2,13
listening,A2 +,1
