Sección,Promedio de aciertos correctoso,Calificación promedio,Número de estudiantes con esa calificación por sección,Promedio de aciertos asignada por revisores
Speaking,0,Pre - A1,47, - 
Listening,9,A1 -,8,9
Reading,16,A1 -,23,14
