seccion,calificacion,cantidad
speak 1,Pre - A1,11
speak 1,A1,18
speak 1,A2,10
speak 2,Pre - A1,16
speak 2,A1,13
speak 2,A2,10
reading,Pre - A1,6
reading,A1 -,7
reading,A1,3
reading,A1 +,8
reading,A2 -,4
reading,A2,6
reading,A2 +,5
listening,Pre - A1,6
listening,A1 -,7
listening,A1,4
listening,A1 +,8
listening,A2 -,7
listening,A2,1
listening,A2 +,6
