Sección,Calificación,Cantidad de alumnos con esa calificación
speak 1,Pre - A1,21
speak 1,A1,14
speak 1,A2,1
speak 2,Pre - A1,33
speak 2,A1,2
speak 2,A2,1
reading,Pre - A1,0
reading,A1 -,0
reading,A1,2
reading,A1 +,8
reading,A2 -,11
reading,A2,10
reading,A2 +,4
listening,Pre - A1,1
listening,A1 -,1
listening,A1,0
listening,A1 +,14
listening,A2 -,5
listening,A2,5
listening,A2 +,10
